구매일,상품명,카테고리,판매처,판매지역,수량,가격,구매자수
20260114,Gawr Gura Plushie,Apparel,Online Store,Seoul,15,45000,12
20260113,Mori Calliope Vinyl,Music,Pop-up Store,Tokyo,8,65000,8
20260112,Hoshimachi Suisei Acrylic,Accessory,Collab Cafe,Busan,25,15000,20
20260111,Hololive English T-Shirt,Apparel,Online Store,LA,12,35000,10
20260110,Inugami Korone Bakery Set,Goods,Pop-up Store,Osaka,5,89000,5
20260109,Usada Pekora Figure,Figure,Online Store,Seoul,3,120000,3
20260108,Oozora Subaru Cap,Apparel,Online Store,Incheon,10,28000,8
20260107,Tokoyami Towa Poster,Goods,Collab Cafe,Daegu,45,12000,30
20260106,Minato Aqua Keyring,Accessory,Online Store,Seoul,60,9000,45
20260105,Shishiro Botan PC Case,Electronic,Online Store,Tokyo,2,250000,2
20260104,Watson Amelia Magnifier,Goods,Pop-up Store,London,14,18000,11
20260103,Ninomae Ina'nis Artbook,Book,Online Store,Seoul,20,42000,18
20260102,Takanashi Kiara Mug,Goods,Collab Cafe,Jeju,15,22000,12
20260101,La+ Darknesss Cloak,Apparel,Online Store,Kyoto,5,155000,5
20251231,Sakura Miko Omamori,Accessory,Pop-up Store,Seoul,100,12000,85
20251230,Shirakami Fubuki Tea Set,Goods,Online Store,Hokkaido,7,55000,7
20251229,Natsuiro Matsuri Lantern,Goods,Collab Cafe,Fukuoka,18,19000,15
20251228,Yukihana Lamy Sake Set,Goods,Online Store,Tokyo,4,98000,4
20251227,Omaru Polka Card Game,Goods,Pop-up Store,Busan,22,25000,18
20251226,Pavolia Reine Cushion,Apparel,Online Store,Jakarta,6,38000,6
20251225,Kobo Kanaeru Umbrella,Goods,Online Store,Seoul,14,29000,12
20251224,Mori Calliope Hoodie,Apparel,Pop-up Store,LA,10,85000,9
20251223,Gawr Gura Hat,Apparel,Online Store,Seoul,22,32000,18
20251222,Houshou Marine Flag,Goods,Collab Cafe,Yokohama,8,45000,8
20251221,Amane Kanata Halo Light,Electronic,Online Store,Seoul,3,72000,3
20251220,Kiryu Coco Memorial Pin,Accessory,Online Store,Tokyo,50,15000,42
20251219,Sakamata Chloe Mask,Apparel,Pop-up Store,Seoul,35,12000,30
20251218,Hakui Koyori Lab Coat,Apparel,Online Store,Nagoya,2,110000,2
20251217,Kazama Iroha Katana Pen,Goods,Online Store,Seoul,40,9000,35
20251216,Takane Lui Tie,Apparel,Collab Cafe,Busan,12,25000,12
20251215,IRyS Music Album,Music,Online Store,Seoul,25,33000,22
20251214,Ceres Fauna Seed Kit,Goods,Pop-up Store,Saitama,15,15000,15
20251213,Ouro Kronii Watch,Accessory,Online Store,Tokyo,1,195000,1
20251212,Nanashi Mumei Diary,Book,Online Store,Seoul,18,22000,18
20251211,Hakos Baelz Dice Set,Goods,Collab Cafe,Gwangju,32,18000,28
20251210,Moona Hoshinova Lamp,Electronic,Online Store,Jakarta,5,48000,5
20251209,Ayunda Risu Nut Box,Goods,Pop-up Store,Seoul,14,14000,12
